Type	POS	Headword	Rank	Freq	Range	NormFreq	NormRange
rodomontades			3132	1	1	19.694	1.000
roe			3132	1	1	19.694	1.000
roethke			3132	1	1	19.694	1.000
roguish			3132	1	1	19.694	1.000
role			3132	1	1	19.694	1.000
romance			3132	1	1	19.694	1.000
romantic			3132	1	1	19.694	1.000
roof			3132	1	1	19.694	1.000
roofs			3132	1	1	19.694	1.000
rooftops			3132	1	1	19.694	1.000
roosevelt			3132	1	1	19.694	1.000
roots			3132	1	1	19.694	1.000
ropes			3132	1	1	19.694	1.000
rotted			3132	1	1	19.694	1.000
rough			3132	1	1	19.694	1.000
roulette			3132	1	1	19.694	1.000
roweled			3132	1	1	19.694	1.000
royalton			3132	1	1	19.694	1.000
rubber			3132	1	1	19.694	1.000
rubies			3132	1	1	19.694	1.000
ruddy			3132	1	1	19.694	1.000
rudely			3132	1	1	19.694	1.000
ruinen			3132	1	1	19.694	1.000
rule			3132	1	1	19.694	1.000
rules			3132	1	1	19.694	1.000
ruling			3132	1	1	19.694	1.000
runner			3132	1	1	19.694	1.000
rural			3132	1	1	19.694	1.000
rush			3132	1	1	19.694	1.000
rushed			3132	1	1	19.694	1.000
rushing			3132	1	1	19.694	1.000
russia			3132	1	1	19.694	1.000
rust			3132	1	1	19.694	1.000
rusty			3132	1	1	19.694	1.000
rye			3132	1	1	19.694	1.000
rühmte			3132	1	1	19.694	1.000
sacrifices			3132	1	1	19.694	1.000
sagte			3132	1	1	19.694	1.000
sah			3132	1	1	19.694	1.000
sailor			3132	1	1	19.694	1.000
sailors			3132	1	1	19.694	1.000
saint			3132	1	1	19.694	1.000
sakristan			3132	1	1	19.694	1.000
salad			3132	1	1	19.694	1.000
salami			3132	1	1	19.694	1.000
salesmen			3132	1	1	19.694	1.000
saltwater			3132	1	1	19.694	1.000
salzburg			3132	1	1	19.694	1.000
san			3132	1	1	19.694	1.000
sante			3132	1	1	19.694	1.000
satin			3132	1	1	19.694	1.000
satisfactory			3132	1	1	19.694	1.000
satisfied			3132	1	1	19.694	1.000
saucepan			3132	1	1	19.694	1.000
sausages			3132	1	1	19.694	1.000
savage			3132	1	1	19.694	1.000
savagely			3132	1	1	19.694	1.000
saving			3132	1	1	19.694	1.000
scabbard			3132	1	1	19.694	1.000
scalding			3132	1	1	19.694	1.000
scar			3132	1	1	19.694	1.000
scarcely			3132	1	1	19.694	1.000
scares			3132	1	1	19.694	1.000
scars			3132	1	1	19.694	1.000
scathingly			3132	1	1	19.694	1.000
scheherezade			3132	1	1	19.694	1.000
scheme			3132	1	1	19.694	1.000
schizophrenic			3132	1	1	19.694	1.000
schlachthöf			3132	1	1	19.694	1.000
schnapps			3132	1	1	19.694	1.000
schon			3132	1	1	19.694	1.000
schone			3132	1	1	19.694	1.000
schoolgirls			3132	1	1	19.694	1.000
scientists			3132	1	1	19.694	1.000
scissors			3132	1	1	19.694	1.000
scolded			3132	1	1	19.694	1.000
scolds			3132	1	1	19.694	1.000
scrambled			3132	1	1	19.694	1.000
scrap			3132	1	1	19.694	1.000
scratchy			3132	1	1	19.694	1.000
screamingly			3132	1	1	19.694	1.000
screwing			3132	1	1	19.694	1.000
scrolls			3132	1	1	19.694	1.000
scruffy			3132	1	1	19.694	1.000
sealed			3132	1	1	19.694	1.000
search			3132	1	1	19.694	1.000
seashells			3132	1	1	19.694	1.000
seats			3132	1	1	19.694	1.000
sebastian			3132	1	1	19.694	1.000
seconds			3132	1	1	19.694	1.000
secretary			3132	1	1	19.694	1.000
secretly			3132	1	1	19.694	1.000
section			3132	1	1	19.694	1.000
sections			3132	1	1	19.694	1.000
securing			3132	1	1	19.694	1.000
sedation			3132	1	1	19.694	1.000
seemingly			3132	1	1	19.694	1.000
seeped			3132	1	1	19.694	1.000
sees			3132	1	1	19.694	1.000
seiten			3132	1	1	19.694	1.000
seldom			3132	1	1	19.694	1.000
selection			3132	1	1	19.694	1.000
selectivity			3132	1	1	19.694	1.000
selector			3132	1	1	19.694	1.000
sellers			3132	1	1	19.694	1.000
semester			3132	1	1	19.694	1.000
semi			3132	1	1	19.694	1.000
seminal			3132	1	1	19.694	1.000
sending			3132	1	1	19.694	1.000
sends			3132	1	1	19.694	1.000
senior			3132	1	1	19.694	1.000
sensational			3132	1	1	19.694	1.000
senseless			3132	1	1	19.694	1.000
sensible			3132	1	1	19.694	1.000
sensitive			3132	1	1	19.694	1.000
sentenced			3132	1	1	19.694	1.000
separate			3132	1	1	19.694	1.000
separating			3132	1	1	19.694	1.000
serenely			3132	1	1	19.694	1.000
serenity			3132	1	1	19.694	1.000
sergeant			3132	1	1	19.694	1.000
serial			3132	1	1	19.694	1.000
servants			3132	1	1	19.694	1.000
sessions			3132	1	1	19.694	1.000
settle			3132	1	1	19.694	1.000
sexually			3132	1	1	19.694	1.000
sexy			3132	1	1	19.694	1.000
shabby			3132	1	1	19.694	1.000
shadowing			3132	1	1	19.694	1.000
shady			3132	1	1	19.694	1.000
shaft			3132	1	1	19.694	1.000
shafts			3132	1	1	19.694	1.000
shakily			3132	1	1	19.694	1.000
shallow			3132	1	1	19.694	1.000
shape			3132	1	1	19.694	1.000
shatter			3132	1	1	19.694	1.000
shattered			3132	1	1	19.694	1.000
sheep			3132	1	1	19.694	1.000
sheet			3132	1	1	19.694	1.000
sheets			3132	1	1	19.694	1.000
shell			3132	1	1	19.694	1.000
shellbursts			3132	1	1	19.694	1.000
shells			3132	1	1	19.694	1.000
shelters			3132	1	1	19.694	1.000
shepherd			3132	1	1	19.694	1.000
sherbet			3132	1	1	19.694	1.000
shimmeringly			3132	1	1	19.694	1.000
shined			3132	1	1	19.694	1.000
shines			3132	1	1	19.694	1.000
shining			3132	1	1	19.694	1.000
ship			3132	1	1	19.694	1.000
ships			3132	1	1	19.694	1.000
shipwrecks			3132	1	1	19.694	1.000
shitless			3132	1	1	19.694	1.000
shiver			3132	1	1	19.694	1.000
shivering			3132	1	1	19.694	1.000
shocking			3132	1	1	19.694	1.000
shod			3132	1	1	19.694	1.000
shops			3132	1	1	19.694	1.000
shorter			3132	1	1	19.694	1.000
showered			3132	1	1	19.694	1.000
showering			3132	1	1	19.694	1.000
shown			3132	1	1	19.694	1.000
shrewd			3132	1	1	19.694	1.000
shrieked			3132	1	1	19.694	1.000
shrieking			3132	1	1	19.694	1.000
shrilly			3132	1	1	19.694	1.000
shrug			3132	1	1	19.694	1.000
shudder			3132	1	1	19.694	1.000
shuddered			3132	1	1	19.694	1.000
shuffle			3132	1	1	19.694	1.000
shutting			3132	1	1	19.694	1.000
shyly			3132	1	1	19.694	1.000
sicker			3132	1	1	19.694	1.000
sided			3132	1	1	19.694	1.000
sidings			3132	1	1	19.694	1.000
sighing			3132	1	1	19.694	1.000
sight			3132	1	1	19.694	1.000
sighted			3132	1	1	19.694	1.000
signal			3132	1	1	19.694	1.000
silesia			3132	1	1	19.694	1.000
silhouette			3132	1	1	19.694	1.000
sill			3132	1	1	19.694	1.000
silliness			3132	1	1	19.694	1.000
silvered			3132	1	1	19.694	1.000
silverware			3132	1	1	19.694	1.000
similarity			3132	1	1	19.694	1.000
simmering			3132	1	1	19.694	1.000
simplest			3132	1	1	19.694	1.000
simulated			3132	1	1	19.694	1.000
simulating			3132	1	1	19.694	1.000
simultaneously			3132	1	1	19.694	1.000
sincerely			3132	1	1	19.694	1.000
singers			3132	1	1	19.694	1.000
singled			3132	1	1	19.694	1.000
sinuous			3132	1	1	19.694	1.000
situations			3132	1	1	19.694	1.000
sized			3132	1	1	19.694	1.000
sizzling			3132	1	1	19.694	1.000
skeleton			3132	1	1	19.694	1.000
sketchy			3132	1	1	19.694	1.000
skiing			3132	1	1	19.694	1.000
skins			3132	1	1	19.694	1.000
skipped			3132	1	1	19.694	1.000
skyline			3132	1	1	19.694	1.000
slam			3132	1	1	19.694	1.000
slamming			3132	1	1	19.694	1.000
slapping			3132	1	1	19.694	1.000
slaves			3132	1	1	19.694	1.000
sleepers			3132	1	1	19.694	1.000
sleepy			3132	1	1	19.694	1.000
slender			3132	1	1	19.694	1.000
sliced			3132	1	1	19.694	1.000
slid			3132	1	1	19.694	1.000
slight			3132	1	1	19.694	1.000
slippers			3132	1	1	19.694	1.000
slipshod			3132	1	1	19.694	1.000
slumbering			3132	1	1	19.694	1.000
slumped			3132	1	1	19.694	1.000
slums			3132	1	1	19.694	1.000
smacked			3132	1	1	19.694	1.000
smaller			3132	1	1	19.694	1.000
smashed			3132	1	1	19.694	1.000
smashin			3132	1	1	19.694	1.000
smelly			3132	1	1	19.694	1.000
smiling			3132	1	1	19.694	1.000
smithereens			3132	1	1	19.694	1.000
smokes			3132	1	1	19.694	1.000
smoky			3132	1	1	19.694	1.000
smoldering			3132	1	1	19.694	1.000
snag			3132	1	1	19.694	1.000
snagged			3132	1	1	19.694	1.000
snags			3132	1	1	19.694	1.000
snap			3132	1	1	19.694	1.000
sneaked			3132	1	1	19.694	1.000
sneeringly			3132	1	1	19.694	1.000
sniffed			3132	1	1	19.694	1.000
sniffingly			3132	1	1	19.694	1.000
sniveling			3132	1	1	19.694	1.000
snootful			3132	1	1	19.694	1.000
snooze			3132	1	1	19.694	1.000
snoozed			3132	1	1	19.694	1.000
snoring			3132	1	1	19.694	1.000
snot			3132	1	1	19.694	1.000
snout			3132	1	1	19.694	1.000
snug			3132	1	1	19.694	1.000
soaked			3132	1	1	19.694	1.000
soaringly			3132	1	1	19.694	1.000
sobbingly			3132	1	1	19.694	1.000
soccer			3132	1	1	19.694	1.000
social			3132	1	1	19.694	1.000
sodom			3132	1	1	19.694	1.000
soft			3132	1	1	19.694	1.000
softly			3132	1	1	19.694	1.000
solemn			3132	1	1	19.694	1.000
solicitously			3132	1	1	19.694	1.000
soliloquized			3132	1	1	19.694	1.000
someplace			3132	1	1	19.694	1.000
sometime			3132	1	1	19.694	1.000
sopping			3132	1	1	19.694	1.000
sordid			3132	1	1	19.694	1.000
sores			3132	1	1	19.694	1.000
sorted			3132	1	1	19.694	1.000
sorts			3132	1	1	19.694	1.000
sought			3132	1	1	19.694	1.000
soundly			3132	1	1	19.694	1.000
sources			3132	1	1	19.694	1.000
sourer			3132	1	1	19.694	1.000
sourness			3132	1	1	19.694	1.000
souvenir			3132	1	1	19.694	1.000
spaces			3132	1	1	19.694	1.000
spanish			3132	1	1	19.694	1.000
spare			3132	1	1	19.694	1.000
sparrows			3132	1	1	19.694	1.000
spars			3132	1	1	19.694	1.000
spattered			3132	1	1	19.694	1.000
speakers			3132	1	1	19.694	1.000
spear			3132	1	1	19.694	1.000
special			3132	1	1	19.694	1.000
specialists			3132	1	1	19.694	1.000
specialized			3132	1	1	19.694	1.000
specimen			3132	1	1	19.694	1.000
speckled			3132	1	1	19.694	1.000
spectacle			3132	1	1	19.694	1.000
spectacular			3132	1	1	19.694	1.000
sphere			3132	1	1	19.694	1.000
spiked			3132	1	1	19.694	1.000
spinal			3132	1	1	19.694	1.000
spitting			3132	1	1	19.694	1.000
splayed			3132	1	1	19.694	1.000
splinters			3132	1	1	19.694	1.000
split			3132	1	1	19.694	1.000
spoils			3132	1	1	19.694	1.000
spoken			3132	1	1	19.694	1.000
spooky			3132	1	1	19.694	1.000
sports			3132	1	1	19.694	1.000
spots			3132	1	1	19.694	1.000
spotted			3132	1	1	19.694	1.000
springboard			3132	1	1	19.694	1.000
sprinkle			3132	1	1	19.694	1.000
squirming			3132	1	1	19.694	1.000
stadium			3132	1	1	19.694	1.000
staged			3132	1	1	19.694	1.000
stained			3132	1	1	19.694	1.000
