Type	POS	Headword	Rank	Freq	Range	NormFreq	NormRange
traveled			321	19	1	374.185	1.000
tried			321	19	1	374.185	1.000
cross			332	18	1	354.491	1.000
die			332	18	1	354.491	1.000
fire			332	18	1	354.491	1.000
given			332	18	1	354.491	1.000
idea			332	18	1	354.491	1.000
making			332	18	1	354.491	1.000
nice			332	18	1	354.491	1.000
person			332	18	1	354.491	1.000
prison			332	18	1	354.491	1.000
sometimes			332	18	1	354.491	1.000
twenty			332	18	1	354.491	1.000
used			332	18	1	354.491	1.000
working			332	18	1	354.491	1.000
beautiful			345	17	1	334.797	1.000
colonel			345	17	1	334.797	1.000
doors			345	17	1	334.797	1.000
half			345	17	1	334.797	1.000
house			345	17	1	334.797	1.000
isn			345	17	1	334.797	1.000
lily			345	17	1	334.797	1.000
looking			345	17	1	334.797	1.000
meant			345	17	1	334.797	1.000
saucer			345	17	1	334.797	1.000
says			345	17	1	334.797	1.000
scouts			345	17	1	334.797	1.000
six			345	17	1	334.797	1.000
stopped			345	17	1	334.797	1.000
train			345	17	1	334.797	1.000
window			345	17	1	334.797	1.000
wouldn			345	17	1	334.797	1.000
york			345	17	1	334.797	1.000
against			363	16	1	315.103	1.000
alive			363	16	1	315.103	1.000
along			363	16	1	315.103	1.000
ask			363	16	1	315.103	1.000
baby			363	16	1	315.103	1.000
friends			363	16	1	315.103	1.000
give			363	16	1	315.103	1.000
hear			363	16	1	315.103	1.000
horses			363	16	1	315.103	1.000
iron			363	16	1	315.103	1.000
living			363	16	1	315.103	1.000
news			363	16	1	315.103	1.000
oh			363	16	1	315.103	1.000
open			363	16	1	315.103	1.000
same			363	16	1	315.103	1.000
sent			363	16	1	315.103	1.000
side			363	16	1	315.103	1.000
son			363	16	1	315.103	1.000
song			363	16	1	315.103	1.000
stood			363	16	1	315.103	1.000
table			363	16	1	315.103	1.000
times			363	16	1	315.103	1.000
zoo			363	16	1	315.103	1.000
business			386	15	1	295.409	1.000
coat			386	15	1	295.409	1.000
crowd			386	15	1	295.409	1.000
earthlings			386	15	1	295.409	1.000
either			386	15	1	295.409	1.000
floor			386	15	1	295.409	1.000
food			386	15	1	295.409	1.000
forty			386	15	1	295.409	1.000
hell			386	15	1	295.409	1.000
history			386	15	1	295.409	1.000
kitchen			386	15	1	295.409	1.000
least			386	15	1	295.409	1.000
left			386	15	1	295.409	1.000
live			386	15	1	295.409	1.000
money			386	15	1	295.409	1.000
past			386	15	1	295.409	1.000
red			386	15	1	295.409	1.000
set			386	15	1	295.409	1.000
simply			386	15	1	295.409	1.000
small			386	15	1	295.409	1.000
water			386	15	1	295.409	1.000
weren			386	15	1	295.409	1.000
blood			408	14	1	275.715	1.000
